number_of_request_per_second,bytes_per_second,form,,
1,7.5392131,monolithic,,1338
2,13.0993296,monolithic,,
4,14.671249152,monolithic,,
8,15.2580991181,monolithic,,
16,13.7322892063,monolithic,,
32,13.8696120983,monolithic,,
64,12.4826508885,monolithic,,
128,10.859906273,monolithic,,
256,7.63136108,monolithic,,
512,5.4509722,monolithic,,
1,8.608854037,c1.xlarge,,
2,14.9043910202,c1.xlarge,,
4,16.8608597317,c1.xlarge,,
8,18.0346001565,c1.xlarge,,
16,14.8413363471,c1.xlarge,,
32,16.3057123761,c1.xlarge,,
64,14.3676435165,c1.xlarge,,
128,12.2538186828,c1.xlarge,,
256,8.8484258078,c1.xlarge,,
512,6.5817000693,c1.xlarge,,
1,9.5215134788,m2.4xlarge,,
2,15.270058806,m2.4xlarge,,
4,16.9563842349,m2.4xlarge,,
8,18.0478441865,m2.4xlarge,,
16,16.0578661156,m2.4xlarge,,
32,15.948306342,m2.4xlarge,,
64,14.817143775,m2.4xlarge,,
128,13.3456410797,m2.4xlarge,,
256,9.0286175056,m2.4xlarge,,
512,9.601952942,m2.4xlarge,,
1,11.0094978115,hs1.8xlarge,,
2,17.265518982,hs1.8xlarge,,
4,20.5780701156,hs1.8xlarge,,
8,26.6806630542,hs1.8xlarge,,
16,20.9142901934,hs1.8xlarge,,
32,22.5050406349,hs1.8xlarge,,
64,20.7369036497,hs1.8xlarge,,
128,20.0579536688,hs1.8xlarge,,
256,21.4387063684,hs1.8xlarge,,
512,21.25879158,hs1.8xlarge,,
